CODE,TYPE,INDEX_CODE,DESCRIPTION,HR,lCI,uCI
I10,1,1636,Essential (primary) hypertension,22.0925655856861,16.534933435869,29.5181989120715
Z490,1,1478,Preparatory care for dialysis,14.0934783932863,8.91865137875934,22.2708708734907
M8697,1,1753,"Unspecified osteomyelitis, ankle and foot",10.8002056790456,8.04959842564925,14.490715752728
M329,1,2085,"Systemic lupus erythematosus, unspecified",10.7313449259093,7.80449540530206,14.7558244240368
E1173,1,833,Type 2 diabetes mellitus with foot ulcer due to multiple causes,9.25367162709774,5.44697753683068,15.7207254854915
J440,1,718,Chronic obstructive pulmonary disease with acute lower respiratory infection,8.56204397056506,6.33765351568863,11.5671512764806
O100,1,979,"Pre-existing essential hypertension complicating pregnancy, childbirth and the puerperium",8.47400804173711,6.95370244181779,10.3267019105657
L97,1,1281,"Ulcer of lower limb, not elsewhere classified",7.89452155824859,6.24281928838561,9.98322516712935
C343,1,1695,"Malignant neoplasm of lower lobe, bronchus or lung",7.75786540658616,6.14108149675617,9.80030564624434
I671,1,1610,"Cerebral aneurysm, nonruptured",6.87227941261636,5.33837811223254,8.84692379073904
N925,1,2013,Other specified irregular menstruation,6.77624456751335,5.65838607177327,8.11494476628459
E1133,1,964,Type 2 diabetes mellitus with proliferative retinopathy,6.7028020586038,3.9787043872111,11.2920064082257
E1165,1,1443,Type 2 diabetes mellitus with poor control,6.51205161195283,4.25168416057485,9.97412192325308
M0694,1,1774,"Rheumatoid arthritis, unspecified, hand",6.49325578992105,4.83680758364815,8.71698326306839
I351,1,1700,Aortic (valve) insufficiency,6.46990079914054,5.35050989068358,7.82348172528496
E1169,1,1524,Type 2 diabetes mellitus with other specified complication,6.39480485943209,4.4340964391185,9.22251686486682
S936,1,1047,Sprain and strain of other and unspecified parts of foot,6.02659434384145,4.92530017011289,7.37413723647007
M1006,1,1924,"Idiopathic gout, lower leg",6.01553469516642,4.56981466190532,7.9186269785531
L89,1,1808,Decubitus ulcer,5.96216689048586,4.54326836532239,7.8241986102627
M316,1,1243,Other giant cell arteritis,5.68108713552533,4.51149180286728,7.15389774639936
J441,1,799,"Chronic obstructive pulmonary disease with acute exacerbation, unspecified",5.51601757638343,4.12393806484177,7.37800845322306
F220,1,1945,Delusional disorder,5.49252228571292,4.66121368352355,6.47209141380712
C792,1,2068,Secondary malignant neoplasm of skin,5.34404451008619,4.42713177974858,6.45086099682449
M7112,1,2062,"Other infective bursitis, upper arm",5.2831448751554,4.5454125915312,6.14061302683158
E118,1,1444,Type 2 diabetes mellitus with unspecified complication,5.19208304850118,3.37107954037688,7.99676366565932
M5499,1,728,"Unspecified dorsalgia, site unspecified",5.13218093400652,4.20775753117291,6.25969556093645
M0590,1,1509,"Seropositive rheumatoid arthritis, unspecified, multiple sites",4.9481702913088,3.74506714768782,6.53777042339748
B005,1,735,Herpesviral ocular disease,4.86840510339909,4.1241136272176,5.74702115246831
R270,1,935,"Ataxia, unspecified",4.83418366993617,3.98404067608548,5.8657362348115
T812,1,1743,"Accidental puncture and laceration during a procedure, not elsewhere classified",4.80409485358153,4.08465951811048,5.65024508404677
M7962,1,1484,"Pain in limb, upper arm",4.76220521993432,3.80596726318622,5.95869511966951
M654,1,1903,Radial styloid tenosynovitis [de Quervain],4.73383451253871,3.96522213706743,5.65143349287258
G20,1,1134,Parkinson's disease,4.69406355106315,3.52440673132808,6.25189834804241
F319,1,1546,"Bipolar affective disorder, unspecified",4.64804659810403,3.92750005288243,5.50078596747332
H571,1,1326,Ocular pain,4.64266205251192,3.91790163806986,5.50149363740863
M1092,1,2005,"Gout, unspecified, upper arm",4.62431016714598,3.60239190966573,5.93612384721181
M321,1,2058,Systemic lupus erythematosus with organ or system involvement,4.44119492307616,3.34609152910762,5.89470197487927
E1065,1,1426,Type 1 diabetes mellitus with poor control,4.43740175583403,2.94457667113063,6.6870509896142
F104,1,1618,"Mental and behavioural disorders due to use of alcohol, withdrawal state with delirium",4.33759760854954,3.75536636900844,5.01009786128072
S390,1,1815,"Injury of muscle and tendon of abdomen, lower back and pelvis",4.32149025334332,3.56383859186977,5.24021431619981
A46,1,1189,Erysipelas,4.31426203503366,3.74829196631205,4.96569025951465
C780,1,1670,Secondary malignant neoplasm of lung,4.31341118128558,3.41698489344301,5.4450097378371
N209,1,2064,"Urinary calculus, unspecified",4.30751196952119,3.56213874625781,5.20885363801758
H200,1,1017,Acute and subacute iridocyclitis,4.29961565457265,3.74003351282655,4.94292222613662
T831,1,1329,Mechanical complication of other urinary devices and implants,4.27379554155027,3.42470333138003,5.33340455028982
T430,1,1198,Tricyclic and tetracyclic antidepressants,4.25096930488563,3.50592497959843,5.15434304391465
F03,1,1953,Unspecified dementia,4.0881863183033,3.40923390541411,4.90235279738959
I48,1,763,Atrial fibrillation and flutter,4.0171244932549,3.45347131438909,4.67277348651239
J448,1,1991,Other specified chronic obstructive pulmonary disease,4.01653100214724,3.04500931869338,5.29802033516679
E1134,1,2047,Type 2 diabetes mellitus with other retinopathy,3.98602643862921,2.73559858175796,5.80801835305851
T887,1,1768,Unspecified adverse effect of drug or medicament,3.94306128422426,3.24651094800504,4.7890589436337
B179,1,2022,"Acute viral hepatitis, unspecified",3.90362223908894,3.33750903460809,4.56576040019594
Z711,1,1676,Person with feared complaint in whom no diagnosis is made,3.87029810799437,3.3222571579962,4.50874412556895
C795,1,1272,Secondary malignant neoplasm of bone and bone marrow,3.86178171330874,3.17998232892232,4.68976128125211
J208,1,1090,Acute bronchitis due to other specified organisms,3.84962197404071,3.21849890354619,4.60450346175003
O690,1,1731,Labour and delivery complicated by prolapse of cord,3.83721068613772,3.23521480679049,4.55122355984044
Z764,1,1874,Other boarder in health-care facility,3.82399618768928,3.22438620256104,4.53511022713332
L0302,1,1026,Cellulitis of toe,3.81270779706329,3.05224409025519,4.76264031182768
H438,1,2009,Other disorders of vitreous body,3.809128266243,3.28631021069669,4.41512128144939
K559,1,2089,"Vascular disorder of intestine, unspecified",3.80151652779058,3.10369233519236,4.65623726527302
N946,1,1241,"Dysmenorrhoea, unspecified",3.77571867016732,3.10588964848066,4.59000579213233
C786,1,2049,Secondary malignant neoplasm of retroperitoneum and peritoneum,3.7557975059379,3.22334367735092,4.3762056788193
T813,1,1527,"Disruption of operation wound, not elsewhere classified",3.75484711114439,3.16658629146999,4.45238990203686
E1136,1,2121,Type 2 diabetes mellitus with diabetic cataract,3.74230991949222,2.63202026658172,5.32096341025459
E1139,1,669,Type 2 diabetes mellitus with other specified ophthalmic complication,3.74115299513368,2.81339331698117,4.97485568353304
S799,1,1889,Unspecified injury of hip and thigh,3.73895165431042,3.26170464335133,4.28602862670813
M167,1,991,Other secondary coxarthrosis,3.7370049888452,3.14389233265276,4.44201162412911
T261,1,1920,Burn of cornea and conjunctival sac,3.73479393751549,3.03809396901157,4.59126211959817
I301,1,1881,Infective pericarditis,3.72464563822134,3.20941234392189,4.32259356034274
S7302,1,954,Anterior dislocation of hip,3.72080853117741,3.25563968684983,4.25244113517934
O141,1,1349,Severe pre-eclampsia,3.7096175536066,2.99241829583063,4.59870948296231
O429,1,1286,"Premature rupture of membranes, unspecified",3.63807522391491,3.09736854409841,4.27317290352227
O325,1,688,Maternal care for multiple gestation with malpresentation of one fetus or more,3.62316480159243,3.04809337832289,4.30673261943215
E835,1,1542,Disorders of calcium metabolism,3.61043893797556,2.73664500218365,4.76322990904881
C629,1,1669,"Malignant neoplasm of testis, unspecified",3.5752706148232,2.99983253592975,4.26109118296382
H728,1,1577,Other perforations of tympanic membrane,3.56202304861348,3.07478801835097,4.12646599477071
K449,1,904,Diaphragmatic hernia without obstruction or gangrene,3.5233199613898,2.96985385292012,4.17993078619742
J22,1,709,Unspecified acute lower respiratory infection,3.50195138339998,2.91677662667692,4.20452611267288
C621,1,1433,Malignant neoplasm of descended testis,3.49239594704647,2.88362790522474,4.22968214062834
S6252,1,737,Fracture of distal phalanx of thumb,3.49216016042721,3.11873173751457,3.91030188309617
M1007,1,1907,"Idiopathic gout, ankle and foot",3.47534147423976,2.76396448082832,4.36980954218029
F318,1,1853,Other bipolar affective disorders,3.46824301373214,2.73005914226549,4.40602528204572
E1039,1,1936,Type 1 diabetes mellitus with other specified ophthalmic complication,3.46643120078251,2.47571753557059,4.85360106599927
R418,1,818,Other and unspecified symptoms and signs involving cognitive functions and awareness,3.45770286269797,2.73553731168404,4.37051581626923
K259,1,1195,"Gastric ulcer, unspecified as acute or chronic, without haemorrhage or perforation",3.45001829845772,2.80296420595884,4.24644247485902
S7300,1,956,"Dislocation of hip, unspecified",3.43871800431471,2.91280571588302,4.05958469825834
C001,1,1613,Malignant neoplasm of external lower lip,3.43798906256628,2.82223766081163,4.18808414275295
N210,1,1588,Calculus in bladder,3.436190988766,2.9791196859415,3.96338843551537
S0131,1,1314,Open wound of auricle,3.43385334888003,3.0020304220958,3.92779124915821
E1011,1,852,"Insulin-dependent diabetes mellitus with ketoacidosis, stated as uncontrolled",3.41823005680637,2.23017958923502,5.23917301443078
I808,1,1925,Phlebitis and thrombophlebitis of other sites,3.40992833091942,2.81380030583545,4.13235125388705
K298,1,1999,Duodenitis,3.40922985277364,2.82459184646379,4.11487705864267
D350,1,2060,Benign neoplasm of adrenal gland,3.39834917633296,2.88861289445671,3.99803557840693
N185,1,1480,"Chronic kidney disease, stage 5",3.39638977732402,2.51867881380787,4.57996607438453
F2390,1,1452,"Acute and transient psychotic disorder, unspecified, without mention of associated acute stress",3.39107200918301,2.7256630865327,4.21892545277588
A561,1,1688,Chlamydial infection of pelviperitoneum and other genitourinary organs,3.38370409172467,2.87572577613052,3.98141348364596
